decile,taux_conversion,n,lift
0,0.5320388349514563,1030,4.722761968530298
1,0.2174757281553398,1030,1.9304720455306326
2,0.07968901846452867,1029,0.7073774337321135
3,0.06607495069033531,1014,0.5865291097055023
4,0.05167464114832536,1045,0.45870153440026395
5,0.04466019417475728,1030,0.39643622363575487
6,0.037864077669902914,1030,0.33610897221292263
7,0.03638151425762045,1017,0.3229486657851015
8,0.03471552555448409,1037,0.3081601436504505
9,0.02608695652173913,1035,0.23156671664167913
